,restaurant_name,city,state,price_point,tags
0,thistle and grouse,Portland,ME,,"['Gastropubs', 'Wine Bars', 'Cocktail Bars']"
1,street and co.,Portland,ME,3.0,"['Seafood', 'New American', 'Mediterranean']"
2,duckfat,Portland,ME,2.0,['New American']
3,highroller lobster,Portland,ME,2.0,"['Seafood', 'American', 'Bars']"
4,eventide oyster company,Portland,ME,2.0,['Seafood']
5,central provisions,Portland,ME,3.0,"['Tapas/Small Plates', 'Cocktail Bars']"
6,scales,Portland,ME,3.0,"['Seafood', 'New American', 'Beer, Wine & Spirits']"
7,wayside tavern,Portland,ME,,['New American']
8,bird and co,Portland,ME,2.0,['Tacos']
9,luke's lobster portland pier,Portland,ME,2.0,"['Seafood', 'Soup', 'Sandwiches']"
10,knotted apron,Portland,ME,,"['French', 'Italian', 'Cocktail Bars']"
11,fore street,Portland,ME,3.0,"['New American', 'Seafood']"
12,honey paw,Portland,ME,2.0,"['Asian Fusion', 'New American', 'Noodles']"
13,twelve,Portland,ME,4.0,['New American']
14,via vecchia,Portland,ME,2.0,"['Italian', 'Tapas/Small Plates', 'Cocktail Bars']"
15,blyth and burrows,Portland,ME,2.0,"['Cocktail Bars', 'Tapas Bars']"
16,salt yard cafe and bar,Portland,ME,,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']"
17,paper tiger,Portland,ME,,"['Tapas/Small Plates', 'Asian Fusion']"
18,boda,Portland,ME,2.0,"['Thai', 'Tapas/Small Plates']"
19,bread and friends,Portland,ME,,"['Bakeries', 'Coffee & Tea', 'New American']"
20,independent ice,Portland,ME,2.0,"['Whiskey Bars', 'Cocktail Bars', 'Gastropubs']"
21,evo kitchen + bar,Portland,ME,4.0,"['Tapas/Small Plates', 'Mediterranean', 'Bars']"
22,maine oyster company,Portland,ME,,['Seafood']
23,sur lie,Portland,ME,2.0,"['New American', 'Tapas Bars']"
24,terlingua,Portland,ME,2.0,"['Barbeque', 'Latin American', 'Bars']"
25,leeward,Portland,ME,,['Italian']
26,izakaya minato,Portland,ME,3.0,['Izakaya']
27,solo italiano,Portland,ME,3.0,"['Italian', 'Bars']"
28,crispy gai,Portland,ME,2.0,"['Chicken Wings', 'Sandwiches', 'Bars']"
29,quanto basta,Portland,ME,,"['Italian', 'Pizza', 'Food Trucks']"
30,empire chinese kitchen,Portland,ME,2.0,"['Dim Sum', 'Cantonese']"
31,union restaurant,Portland,ME,2.0,"['Cocktail Bars', 'New American', 'Breakfast & Brunch']"
32,isa bistro,Portland,ME,2.0,"['New American', 'New Mexican Cuisine']"
33,papi,Portland,ME,2.0,"['Cocktail Bars', 'Puerto Rican']"
34,chaval,Portland,ME,3.0,"['Spanish', 'French', 'Cocktail Bars']"
35,north point,Portland,ME,2.0,"['Lounges', 'American']"
36,butcher burger,Portland,ME,,"['Burgers', 'Sandwiches', 'Tacos']"
37,n to tail,Portland,ME,3.0,"['Korean', 'Barbeque', 'Tapas/Small Plates']"
38,dimillo's on the water,Portland,ME,3.0,"['Seafood', 'Italian', 'New American']"
39,bramhall,Portland,ME,2.0,"['Bars', 'American']"
40,smoked portland,Portland,ME,,"['Chicken Shop', 'Beer Bar', 'Cocktail Bars']"
41,great lost bear,Portland,ME,2.0,"['American', 'Beer Bar', 'Desserts']"
42,hot suppa,Portland,ME,2.0,"['Breakfast & Brunch', 'American', 'Comfort Food']"
43,miyake,Portland,ME,3.0,"['Japanese', 'Sushi Bars']"
44,jing yan,Portland,ME,,['Chinese']
45,keg and kraken,Portland,ME,2.0,"['Sushi Bars', 'Thai', 'Bars']"
46,quiero cafe,Portland,ME,,"['Latin American', 'Empanadas']"
47,mash tun,Portland,ME,2.0,"['Burgers', 'Breweries']"
48,thirsty pig,Portland,ME,2.0,"['Beer, Wine & Spirits', 'American', 'Bars']"
49,ribollita,Portland,ME,2.0,"['Italian', 'Seafood']"
