,price_point,cuisine,description,tags,region,restaurant_name
0,$30 and under,American,"Since 1982, Buffalo Wild WingsÂ® (or B-DubsÂ® as our friends call us) has been the ultimate place to watch the game, have a cold beer and eat some great food. At Buffalo Wild Wings, you can always feel comfortable pulling some tables together with your friends and staying as long as you want.","['Kid-friendly', 'Good for groups', 'Great for happy hour']","Portland, ME",Buffalo Wild Wings - South Portland
1,$30 and under,Brewery,"Founded in 1993 on the coast of Maine, our crew brews a full line of award-winning handcrafted ales that capture the spirit of our sea-faring history. We serve a full menu of handcrafted ales and creative pub fare with a flair. ","['Great for happy hour', 'Lively']","Portland, ME",Sea Dog Brewpub Scarborough
2,$31 to $50,Italian," Established at the top of Portland's Old Port since 2009, The Corner Room offers guests a convival & socialable atmosphere with exceptional service. A gathering spot where friends & families can share a snack or a meal.  Enjoy seating at the taps, antipasti bar, or table service -all with views of the open kitchen. Head Chef Greg Wilson & Sous Chef Jason Macguire create staple dishes using local & Italian ingrediants with authentic techniques. The menu is pleasingly  varied.  Delight in the Bruschetta, Verduras, Procsciutto & Greens Pizza or Fettucini Bolognese to name a few - all served with a well rounded wine, spirit, & beer selection.  Founded By Chef/Owner Harding Lee Smith, The Corner Room, is part of ""The Rooms"" Restaurant Group.Parties of 5 or more & guests with any questions are asked to call (207) 879 4747 during regular buisness hours & we will be happy to assist you. Please note that tables will be held for 10 minutes after reservation time. ","['Good for special occasions', 'Neighborhood gem', 'Lively']","Portland, ME",The Corner Room
3,$30 and under,Contemporary American,"A long established local favorite at the center of the historic arts district featuring eclectic decor,and an energetic atmosphere.  David's offers broadly appealing menus that highlight familiar dishes with acreative twist. Open for lunch and dinner, showcasing  delectable options for gluten free, vegetarian, and vegan diners. Davidâs is known for delicious meals, and warm and friendly service. Itâs no wonder that Chef David was voted Portland's best chef in 2021 and chef of the year in 2012.","['Good for special occasions', 'Charming', 'Neighborhood gem']","Portland, ME",David's Restaurant
4,$31 to $50,Italian,"We currently offer in-house dining Tuesday through Sunday from 4:30-10:00pm (last dinner seating is at 9:30). Takeout is no longer available at this time. Patio dining is available Memorial Day weekend through September and always subject to weather. Please call us directly to reserve a patio table, but keep in mind that of the six 4-tops available outside, three are kept for walk-ins only.Our restaurant features Paolo Laboa, international chef from Genova, Italy. His menu consists of simple, flavorful and authentic Northern Italian cuisine. This includes handmade pasta, crudo (raw fish), fresh pizza and an all-Italian wine list. Ingredients are sourced locally, from various Maine farms and from the Gulf of Maine, whenever possible. ","['Good for special occasions', 'Charming', 'Great for fine wines']","Portland, ME",Solo Italiano
5,$31 to $50,Seafood,"Bringing some LA vibes to the northeast.  REGARDS draws inspiration from the diverse food culture of Los Angeles.  We highlight flavor profiles from Japan and Mexico with the freshest of Maine produce and products.  The menu at REGARDS has bright, zippy ceviches and crudos, rich tamales, plump Argentinian shrimp tacos, along with mezcal cured hamachi collars, crab rice and grilled cabbage with caesar. Clarified lime margaritas with eucalyptus or our gin and sotol martinis with hibiscus pair with our adventurous menu.  We pour natural wine and have a large selection of curated mezcals and tequilas.A place for us and for you.  Might not make sense, but it sure is delicious.  Across the street from Reny's.  Nearby Maine College of Art, Portland Stage Company, State Theatre, Empire Comedy Club and Blue Jazz Club.  **The 50 Best New Restaurants of 2022, Bon Appetit****Plate Magazine Chef's To Watch, 2023****Star Chef New England, 2023**","['Good for special occasions', 'Innovative', 'Charming']","Portland, ME",REGARDS
6,$31 to $50,Bistro,"Isa is a small neighborhood bistro serving eclectic and seasonally driven menu.  Reservations are available inside the dining room up to 30 days out.  Our private outdoor patio is open seasonally with same day reservations available only, as it is uncovered and weather permitting (not dog friendly).  All reservations are 2 hours, so we ask you be mindful of those dining after you.  Please provide 24 hours notice for cancellations or a late cancellation fee may apply.   Friday lunch also available 11:30-4pm. A husband and wife duo, Isaul Perez brings his experience cooking French and Italian food to life with a splash of his Mexican heritage and his wife Suzie is the sommelier and face of the front.  They showcase local farms and purveyors and offer craft beers and house specialty cocktails.  The dining room is cozy and quaint with an original black tin ceiling. Be sure to order any of the Mexican dishes, whatever they may be!","['Neighborhood gem', 'Charming', 'Good for special occasions']","Portland, ME",Isa Bistro - Portland
7,$30 and under,American,"Due to volume we are unable to accept reservations for Brunch. Tables are available on a walk-in basis. Reservations are available for Dinner. For parties over 6, please call 773-3366 during business hours to make reservations.Nestled atop Portlandâs Munjoy Hill neighborhood, The Front Room, offers dishes & drinks with comfort in mind. A local Brunch destination, enjoy plates such as house-made Corned Beef Hash, Veggie Gnocchi, & Eggs Benedict. Pancakes & French Toast are always a go to. Serving a variety of Mimosas & Bloody Marys, local coffee & teas. Dinner at TFR is relaxed & pleasurable. Plates are made with local components & thoughtful recipes. Enjoy the Casco Bay Scallops, Braised Shortrib, Mushroom Toast, or neighborhood favorite Roasted Pork Loin with JJ's famous bacon jam. Serving a variety of local beer, wine, and cocktails to suit every taste- Come get Happy 4-6 !","['Neighborhood gem', 'Good for special occasions', 'Lively']","Portland, ME",The Front Room
8,$30 and under,American,"Eighteen95 offers warm, intimate dÃ©cor, punctuated by softly lit chandeliers and a lovely brick fireplace. Our signature restaurant specializes in modern American dishes with a New England flourish, including lobster stew, bison, lobster stuffed with Maine crab meat, scallops and shrimp  and Chefâs daily specials. We strive to use locally sourced ingredients whenever possible, and we also offer an extensive collection of regional and international wines. Our desserts and ice cream are made in house and change seasonally.","['Charming', 'Good for special occasions', 'Great for brunch']","Portland, ME",Eighteen95 at the Regency Hotel
9,$30 and under,Spanish,"We accept reservations online or over the phone. For reservations of 7 guests or more, reservations must be made over the phone. Our menu offers a full range of tapas, raciones, and entrees creating a set of choices for any sized appetite. The menu is printed nightly with frequent changes in steak, gnocchi, risotto, appetizers and fish specials. Our feature dish is a classic Spanish paella filled with local seafood. Our wine list is extensive featuring over 100 bottles focused in Spain, France, and Italy. Our beer list features local micros, seasonal, domestic and imported selections. We offer an ever changing array of house made cocktails, many of which feature intriguing house infusions. Weekend brunch is served from 9am-1pm. Brunch is walk in service only. Our Brunch menu features delicious house made pastries, rotating seasonal scrambles, as well as eggs benedict, huevos rancheros, and more. For brunch drinks, we offer multiple different house bloody marys and infused cocktails. ","['Good for special occasions', 'Neighborhood gem', 'Charming']","Portland, ME",Local 188
10,$30 and under,Asian,"Kon Asian Bistro Steakhouse & Sushi Bar is an upscale Asian restaurant with a new, modern flair. We offer a truly amazing dining experience. Japanese, Sushi, Thai, Chinese, and Japanese Hibachi cuisine offers tastes of the orient that leave you wanting more. Kon Asian Bistro is a truly exciting place to socialize and enjoy yourself.Have a cocktail, glass of wine, beer, or other delightful beverage and relax and have fun. Experience our entertaining and delicious hibachi tables. They are something you won't soon forget! Our unique private party room can accommodate larger parties, from business meetings to birthday parties and more!Please advise if your reservation is for the dining room or Hibachi.","['Good for groups', 'Good for special occasions', 'Kid-friendly']","Portland, ME","Kon Asian Bistro - Portland, ME"
11,$30 and under,American,"The Armory Lounge in the Portland Regency Hotel & Spa is a popular bar and restaurant in downtown Portlandâs Old Port district. Located in the lower lobby of the hotel, the Armory Lounge provides a cozy atmosphere for hotel guests, and is also considered one of the best bars in downtown Portland by locals. Known for its delicious and inventive cocktails, the Armory also has a wide variety of wine and beer, including several local Maine craft beers. Lunch and dinner options include small plates, soups and salads, sandwiches, fresh local seafood and hearty entrÃ©es, such as Fish and Chips and Baked Lazy Manâs Lobster.The Armory Lounge is primarily a walk in seating establishment.  If you do not see availability online please come in and grab a seat!  Seasonally we will serve in the Garden Cafe and not inside in the Armory Lounge.",,"Portland, ME",The Armory Lounge at the Regency Hotel
12,$30 and under,Dim Sum,DUMPLINGS & CHAMPAGNEInduldge in the finer things. Coming Summer 2024.,,"Portland, ME",name_not_found
13,$30 and under,American,"Located inside of a Historic Land Mark, Ricks Cafe calls home to a 1901 Casino Building nestled on the Naples Causeway waterways of Long Lake & Brandy Pond. Come enjoy a Sunset and Cocktail while we put your mind on a permanent vacation. ",,"Portland, ME",Rick's Cafe
14,$31 to $50,Bistro,"From the owner of David's (Portland, ME), 388 is a comfortable and casual neighborhood nook where diners can enjoy a range of bold flavors. Both restaurants share the signature of Chef/Owner David Turin, and David's 388 is built ""by the Chef, for the Chef.""

Every week, David's 388 thrills the palette with new dishes that have both creative and traditional influences spanning the width of the globe.

The restaurant seats 42 including seating at a Chefâs counter overlooking the kitchen.","['Neighborhood gem', 'Good for special occasions', 'Charming']","Portland, ME",David's 388
