,price_point,cuisine,description,tags,region,restaurant_name_extracted,restaurant_name_input
0,$31 to $50,Seafood,"Street and Co. is a Mediterranean, bistro style, all-seafood restaurant with a dynamic atmosphere and 35 years of experience, located right in the heart of the Old Port.  Our chefs focus on serving the freshest seafood and the best ingredients available from local purveyors, fishermen and organic farmers.  They prepare a simple yet creative menu that highlights the ingredients.    Our personalized wine list truly complements the cuisine and we offer a classic full bar.  We serve our full menu at the bar itself and feature a raw bar with a variety of local oysters.  The bar is available to book the majority of the year but only available thru walk in for July/August.   Our comfortable lounge is great place to get together for drinks and appetizers or to enjoy while waiting for a table.   Al fresco dining is available thru walk-in only from Memorial Day through September, depending on weather.  We book the majority of the dining room but reserve a few tables for walk in as well.   ","['Good for special occasions', 'Neighborhood gem', 'Charming']","Portland, ME",Street and Co.,Street & Co.
1,$31 to $50,Seafood,"A traditional New England restaurant with modern touches, Scales is located on Maine Wharf next to the Casco Bay Ferry Terminal. Enjoy classic fried seafood as well as locally sourced land fare, while enjoying the view of a quintessential working Maine harbor. Bar seating is available for dinner service by reservation only. Please check with the host to inquire about bar seating.Our lounge is open for cocktails and raw bar every day beginning at 4:30pm Sunday - Thursday, and 4:00pm Friday - Saturday.We are only able to seat complete parties at this time. Please note: our patio reservations are weather dependent. If we need to make a change because of weather, we will call you on the day of your reservation to cancel or reschedule your booking.","['Good for special occasions', 'Lively', 'Hot spot']","Portland, ME",Scales,Scales
2,$30 and under,Mexican,"We are a neighborhood Taco and Margarita bar. We would love to feed you. Located in the middle of Woodfords Corner, tucked away on the Corner of Deering Ave. and Revere St. Our creative tacos and margaritas use the freshest ingredients and we have something on the menu for everyone. You deserve Tacos.","['Neighborhood gem', 'Great for outdoor dining', 'Vegetarian-friendly']","Portland, ME",Bird &amp; Co.,Bird & Co
3,$50 and over,Contemporary American," Located in Portland's Old Port District, Fore Street opened in June, 1996. The interior surrounds a unique brick and soapstone hearth with a wood-burning oven, grill and turnspit; visible from most tables. We believe that good food travels the shortest possible distance between the farm and the table. Our menu changes every day and is founded upon the very best raw materials from a community of Maine farmers, fisherman, foragers and cheese makers. Most of the Maine foods are organically grown or harvested wild, each brought to us at the peak of its season. In 2002 and again in 2007, Fore Street was named by Gourmet Magazine as one of the Top Fifty Restaurants in the United States. In 2004, Chef-Partner Sam Hayward was named Best Chef: Northeast by the James Beard Foundation.","['Good for special occasions', 'Charming', 'Neighborhood gem']","Portland, ME",Fore Street,Fore Street
4,$30 and under,Farm-to-table,"Bread & Friends is a bakery and restaurant, specializing in naturally leavened breads, artisan pastries, and elevated sharing plates for brunch (year round) and dinner (seasonally). Complemented by a coffee program at brunch, as well as wine, beer and aperitivi/amari at dinner. Let's eat, together.We accept walk-ins only for brunch. Dinner reservations can be booked up to 6 weeks in advance.","['Neighborhood gem', 'Good for special occasions', 'Charming']","Portland, ME",Bread &amp; Friends,Bread & Friends
5,$30 and under,Oyster Bar,"The Maine Oyster Company's journey began in 2016 with the opening of a small farm in Phippsburg, Maine. Our horizon has expanded into a vision and, as we like to see it, a movement to share the Maine experience, to live the motto... ""the way life should be"" through oysters, their growers and the communities they are grown within. To day our journey can best be described as fate driven and synergistic. One idea, one connection to the next, leading to the next. The Maine Oyster Company is an oyster bar, restaurant & online shipping distributor for Maine oyster sales. Our vision is to build an oyster community through experience and story.",[],"Portland, ME",Maine Oyster Company,Maine Oyster Company
6,$31 to $50,Italian,"We currently offer in-house dining Tuesday through Sunday from 4:30-10:00pm (last dinner seating is at 9:30). Takeout is no longer available at this time. Patio dining is available Memorial Day weekend through September and always subject to weather. Please call us directly to reserve a patio table, but keep in mind that of the six 4-tops available outside, three are kept for walk-ins only.Our restaurant features Paolo Laboa, international chef from Genova, Italy. His menu consists of simple, flavorful and authentic Northern Italian cuisine. This includes handmade pasta, crudo (raw fish), fresh pizza and an all-Italian wine list. Ingredients are sourced locally, from various Maine farms and from the Gulf of Maine, whenever possible. ","['Good for special occasions', 'Charming', 'Great for fine wines']","Portland, ME",Solo Italiano,Solo Italiano
7,$31 to $50,Bistro,"Isa is a small neighborhood bistro serving eclectic and seasonally driven menu.  Reservations are available inside the dining room up to 30 days out, with a maximum of 8 guests.  Our private outdoor patio is open seasonally with same day reservations available only, as it is uncovered and weather permitting (not dog friendly).  Please provide 24 hours notice for cancellations or a late cancellation fee may apply.   Friday lunch available 11:30-4pm.  Dinner daily 4-9pm, except closed on Tuesdays.A husband and wife duo!  A 2023 James Beard nominated chef, Isaul Perez brings his experience cooking French and Italian food in NYC to life with a splash of his Mexican heritage.  His wife Suzie is a certified sommelier and face of the front.  They showcase local farms and purveyors, offer craft beers and house specialty cocktails.  The dining room is cozy and quaint with an original black tin ceiling. Be sure to order any of the Mexican dishes, whatever they may be!  ","['Neighborhood gem', 'Charming', 'Good for special occasions']","Portland, ME",Isa Bistro - Portland,Isa Bistro
8,$30 and under,Korean,"N to Tail is a Korean Fusion restaurant located in the heart of Portland Maine. Featuring family style Korean Barbecue downstairs, Korean fine dining upstairs, and new bars located on both levels.  Please be sure to specify in your reservation which concept you would like for your dining experience.Korean BBQ is a fun interactive way to experience Korean Cuisine. On the Korean BBQ level, there is a raw kitchen which provides a wide variety of marinated meat and vegetables. They are then brought to your table raw where your server will teach you the Korean BBQ grilling process. Each table has a grill built into the center to cook your selections on. The best part? Your food never comes out cold since you can eat right off the grill!We are now offering Korean fusion on the top floor of our restaurant. By now Iâm sure everyone knows how awesome Korean BBQ is. Now we are so happy to say that you can come in and enjoy some Korean food without having to cook it your self!",[],"Portland, ME",N To Tail,N To Tail
9,$30 and under,Asian,"Jing Yan is a neighborhood tavern that specializes in hand-crafted cocktails and comforting cuisine. Our goal is to provide a warm and inviting atmosphere in the East End neighborhood, where you can unwind and enjoy our food and drinks with friends, family, or by yourself. ",[],"Portland, ME",Jing Yan,Jing Yan
