,name,price_point,tags
0,Thistle & Grouse,,"['Gastropubs', 'Wine Bars', 'Cocktail Bars']"
1,Street & Co.,$$$,"['Seafood', 'New American', 'Mediterranean']"
2,Duckfat,$$,['New American']
3,The Highroller Lobster,$$,"['Seafood', 'American', 'Bars']"
4,Eventide Oyster Company,$$,['Seafood']
5,Central Provisions,$$$,"['Tapas/Small Plates', 'Cocktail Bars']"
6,Scales,$$$,"['Seafood', 'New American', 'Beer, Wine & Spirits']"
7,Wayside Tavern,,['New American']
8,Bird & Co,$$,['Tacos']
9,Luke's Lobster Portland Pier,$$,"['Seafood', 'Soup', 'Sandwiches']"
10,The Knotted Apron,,"['French', 'Italian', 'Cocktail Bars']"
11,Fore Street,$$$,"['New American', 'Seafood']"
12,The Honey Paw,$$,"['Asian Fusion', 'New American', 'Noodles']"
13,Twelve,$$$$,['New American']
14,Via Vecchia,$$,"['Italian', 'Tapas/Small Plates', 'Cocktail Bars']"
15,Blyth & Burrows,$$,"['Cocktail Bars', 'Tapas Bars']"
16,Salt Yard Cafe & Bar,,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']"
17,Paper Tiger,,"['Tapas/Small Plates', 'Asian Fusion']"
18,Boda,$$,"['Thai', 'Tapas/Small Plates']"
19,Bread & Friends,,"['Bakeries', 'Coffee & Tea', 'New American']"
20,The Independent Ice,$$,"['Whiskey Bars', 'Cocktail Bars', 'Gastropubs']"
21,Evo Kitchen + Bar,$$$$,"['Tapas/Small Plates', 'Mediterranean', 'Bars']"
22,Maine Oyster Company,,['Seafood']
23,Sur Lie,$$,"['New American', 'Tapas Bars']"
24,Terlingua,$$,"['Barbeque', 'Latin American', 'Bars']"
25,Leeward,,['Italian']
26,Izakaya Minato,$$$,['Izakaya']
27,Solo Italiano,$$$,"['Italian', 'Bars']"
28,Crispy Gai,$$,"['Chicken Wings', 'Sandwiches', 'Bars']"
29,Quanto Basta,,"['Italian', 'Pizza', 'Food Trucks']"
30,Empire Chinese Kitchen,$$,"['Dim Sum', 'Cantonese']"
31,Union Restaurant,$$,"['Cocktail Bars', 'New American', 'Breakfast & Brunch']"
32,Isa Bistro,$$,"['New American', 'New Mexican Cuisine']"
33,Papi,$$,"['Cocktail Bars', 'Puerto Rican']"
34,Chaval,$$$,"['Spanish', 'French', 'Cocktail Bars']"
35,The North Point,$$,"['Lounges', 'American']"
36,Butcher Burger,,"['Burgers', 'Sandwiches', 'Tacos']"
37,N To Tail,$$$,"['Korean', 'Barbeque', 'Tapas/Small Plates']"
38,DiMillo's On the Water,$$$,"['Seafood', 'Italian', 'New American']"
39,Bramhall,$$,"['Bars', 'American']"
40,Smoked Portland,,"['Chicken Shop', 'Beer Bar', 'Cocktail Bars']"
41,The Great Lost Bear,$$,"['American', 'Beer Bar', 'Desserts']"
42,Hot Suppa,$$,"['Breakfast & Brunch', 'American', 'Comfort Food']"
43,Miyake,$$$,"['Japanese', 'Sushi Bars']"
44,Jing Yan,,['Chinese']
45,Keg and kraken,$$,"['Sushi Bars', 'Thai', 'Bars']"
46,Quiero Cafe,,"['Latin American', 'Empanadas']"
47,Mash Tun,$$,"['Burgers', 'Breweries']"
48,The Thirsty Pig,$$,"['Beer, Wine & Spirits', 'American', 'Bars']"
49,Ribollita,$$,"['Italian', 'Seafood']"
50,Continental,,"['British', 'Beer Bar', 'Cocktail Bars']"
51,Flatbread Company,$$,"['Pizza', 'Salad', 'Beer Bar']"
52,Wilson County Barbecue,$$,['Barbeque']
53,The Armory Lounge,$$,"['Lounges', 'New American']"
54,Lazzari,$$,"['Bars', 'Pizza', 'Italian']"
55,The Green Elephant,$$,"['Vegetarian', 'Vegan', 'Asian Fusion']"
56,Rigby Yard,$$,"['Beer, Wine & Spirits', 'American', 'Coffee & Tea']"
57,Tipo,$$,"['Italian', 'Pizza', 'Cocktail Bars']"
58,Kume,,"['Japanese', 'Sushi Bars', 'Steakhouses']"
59,The King's Head,$$,"['American', 'Pubs']"
60,Black Cow,$$,"['Burgers', 'Cocktail Bars', 'American']"
61,Woodford F & B,$$$,"['New American', 'Bars', 'Seafood']"
62,Bite Into Maine,$$$,"['Seafood', 'Food Trucks']"
63,Sichuan Kitchen,$$,['Szechuan']
64,Cantina Calafia,,['Tacos']
65,Novel,,"['Cafes', 'Bookstores', 'Cocktail Bars']"
66,Dok Mali Thai Kitchen,,"['Thai', 'Salad', 'Chicken Wings']"
67,The East Ender,$$,"['Burgers', 'Seafood', 'Karaoke']"
68,Bar Futo,,"['Bars', 'Japanese']"
69,Mainely Noods,$$,['Noodles']
70,Mi Sen Noodle Bar,$$,"['Thai', 'Asian Fusion', 'Noodles']"
71,Bite Into Maine,$$,"['Seafood', 'Sandwiches']"
72,Room for Improvement,,"['Cocktail Bars', 'Hot Dogs', 'Beer Bar']"
73,Becky's Diner,$$,"['American', 'Breakfast & Brunch']"
74,SoPo Seafood Market & Raw Bar,$$,"['Seafood', 'Live/Raw Food', 'Seafood Markets']"
75,CÔNG TỬ BỘT,$$,['Vietnamese']
76,Regards,,"['Cocktail Bars', 'New American', 'Seafood']"
77,MAMI PORTLAND,$$,"['Japanese', 'Food Trucks']"
78,Gilbert's Chowder House,$$,['Seafood']
79,kuno,,"['Food Trucks', 'Thai', 'Sandwiches']"
80,Old Port Sea Grill & Raw Bar,$$,"['Seafood', 'Bars']"
81,Paella seafood,,['Seafood']
82,Lenora,,"['Mexican', 'Breakfast & Brunch', 'Cocktail Bars']"
83,Eighteen95,,['Breakfast & Brunch']
84,Taco Escobarr,$$,['Tacos']
85,Salvage BBQ,$$,['Barbeque']
86,Bayside American Cafe,$$,"['Breakfast & Brunch', 'Sandwiches', 'Wraps']"
87,Il Leone,,['Pizza']
88,Portland Hunt & Alpine Club,$$,"['Cocktail Bars', 'Gastropubs']"
89,Pai Men Miyake,$$,"['Sushi Bars', 'Ramen']"
90,Flores Restaurant,$,['Salvadoran']
91,The Grill Room,$$$,"['Steakhouses', 'New American', 'Bars']"
92,Brickyard Hollow Brewing Company,$$,"['Pizza', 'Brewpubs']"
93,Little Tap House,$$,"['Gastropubs', 'New American']"
94,City Farmhouse Kitchen and Bar,$$,['American']
95,Maiz Colombian Street Food - Forest Ave,$$,['Colombian']
96,The Friendly Toast - Portland,$$,"['Breakfast & Brunch', 'Diners', 'Acai Bowls']"
97,The Well at Jordan's Farm,$$$,['New American']
98,David's Opus Ten,$$$$,['New American']
99,Nom Cafe,,"['Modern European', 'Breakfast & Brunch']"
100,Thai Tree,,"['Thai', 'Desserts', 'Coffee & Tea']"
101,Harbor Bistro + Terrace,,"['Seafood', 'Breakfast & Brunch', 'Cocktail Bars']"
102,JP's Bistro,,"['French', 'Seafood']"
103,The Front Room,$$,"['American', 'Breakfast & Brunch']"
104,North43Bistro,$$,['New American']
105,Jefe Juan's,,['Mexican']
106,Volcano Restaurant Bar & Grill,,"['Bars', 'American']"
107,Inkwell,$$$,"['Tapas/Small Plates', 'Cocktail Bars']"
108,Mazzat Restaurant,,['Mediterranean']
109,Roma Cafe,$$$,['Italian']
110,Waypoint Restaurant,,"['American', 'Bars', 'Seafood']"
111,Tres Leches Cakes Flor,,"['Bakeries', 'Mexican']"
112,Little Pig,,['Thai']
113,Tomaso's Canteen,$$,"['Bars', 'American']"
114,David's Restaurant,$$$,"['New American', 'Seafood']"
115,Tuscan Table,$$,['Italian']
116,The Porthole Restaurant & Pub,$$,"['Diners', 'Seafood', 'Breakfast & Brunch']"
117,Casita Corazon,,['Mexican']
118,Mitr Ping Yang Thai Kitchen,,['Thai']
119,Smalls,,['Cafes']
120,Low Key,,"['Bars', 'Seafood', 'Sandwiches']"
121,Ugly Duckling,,"['Bakeries', 'Breakfast & Brunch']"
122,Taco Trio,$,['Mexican']
123,Nosh Taco,,['Tacos']
124,The Sinful Kitchen,$$,"['Breakfast & Brunch', 'Coffee & Tea', 'Gluten-Free']"
125,The Corner Room,$$,"['Italian', 'Pizza', 'Bars']"
