,price_point,cuisine,description,tags,region,restaurant_name
0,$30 and under,Steakhouse,"Toscana Italian Chophouse & Wine Bar, a steakhouse concept that will be built around signature chops, incredible sides, and of course many of the Italian favorites that customers have come to love from Tuscan Kitchen.","['Good for special occasions', 'Lively', 'Great for fine wines']","Portland, ME",Toscana Chop House
1,$31 to $50,Seafood,"Bringing some LA vibes to the northeast.  REGARDS draws inspiration from the diverse food culture of Los Angeles.  We highlight flavor profiles from Japan and Mexico with the freshest of Maine produce and products.  The menu at REGARDS has bright, zippy ceviches and crudos, rich tamales, plump Argentinian shrimp tacos, along with mezcal cured hamachi collars, crab rice and grilled cabbage with caesar. Clarified lime margaritas with eucalyptus or our gin and sotol martinis with hibiscus pair with our adventurous menu.  We pour natural wine and have a large selection of curated mezcals and tequilas.A place for us and for you.  Might not make sense, but it sure is delicious.  Across the street from Reny's.  Nearby Maine College of Art, Portland Stage Company, State Theatre, Empire Comedy Club and Blue Jazz Club.  **The 50 Best New Restaurants of 2022, Bon Appetit****Plate Magazine Chef's To Watch, 2023****Star Chef New England, 2023**","['Good for special occasions', 'Innovative', 'Charming']","Portland, ME",REGARDS
2,$31 to $50,Italian," Established at the top of Portland's Old Port since 2009, The Corner Room offers guests a convival & socialable atmosphere with exceptional service. A gathering spot where friends & families can share a snack or a meal.  Enjoy seating at the taps, antipasti bar, or table service -all with views of the open kitchen. Head Chef Greg Wilson & Sous Chef Jason Macguire create staple dishes using local & Italian ingrediants with authentic techniques. The menu is pleasingly  varied.  Delight in the Bruschetta, Verduras, Procsciutto & Greens Pizza or Fettucini Bolognese to name a few - all served with a well rounded wine, spirit, & beer selection.  Founded By Chef/Owner Harding Lee Smith, The Corner Room, is part of ""The Rooms"" Restaurant Group.Parties of 5 or more & guests with any questions are asked to call (207) 879 4747 during regular buisness hours & we will be happy to assist you. Please note that tables will be held for 10 minutes after reservation time. ","['Good for special occasions', 'Neighborhood gem', 'Lively']","Portland, ME",The Corner Room
3,$50 and over,Steakhouse,"Opened by local chef/owner Harding Lee Smith &  located in the heart of the historic Old Port, The Grill Room & Bar, has been a staple in Portland's burgeoning food since 2008. An open kitchen concept featuring locally sourced french inspired plates makes this ""urban steakhouse"" a distinctive dining experience for any occasion.  Enjoy Chef Entrees or the A la Carte Menu.  In addition, The Grill Room Bar offers a generous variety of wine, local beer & handcrafted cocktails.  Stop in from 4-6pm Tuesday - Saturday  for Happy Hour Small Bites & Drinks.  The patio is pet friendly and is available for seating on a weather dependent basis. The Grill Room is joined by Portland sister restaurants The Front Room & Corner Room & The Mountain Room & Last Run Room @ Sunday River Ski Resort...  Walk-ins are welcome although reservations are highly recommended.Large parties are encouraged to call the restaurant directly @ 207 774 2333 or email thegrillroom@gmail.com for reservation needs.","['Good for special occasions', 'Lively', 'Neighborhood gem']","Portland, ME",The Grill Room &amp; Bar
4,$31 to $50,Italian,"We currently offer in-house dining Tuesday through Sunday from 4:30-10:00pm (last dinner seating is at 9:30). Takeout is no longer available at this time. Patio dining is available Memorial Day weekend through September and always subject to weather. Please call us directly to reserve a patio table, but keep in mind that of the six 4-tops available outside, three are kept for walk-ins only.Our restaurant features Paolo Laboa, international chef from Genova, Italy. His menu consists of simple, flavorful and authentic Northern Italian cuisine. This includes handmade pasta, crudo (raw fish), fresh pizza and an all-Italian wine list. Ingredients are sourced locally, from various Maine farms and from the Gulf of Maine, whenever possible. ","['Good for special occasions', 'Charming', 'Great for fine wines']","Portland, ME",Solo Italiano
5,$30 and under,Mexican,"We are a neighborhood Taco and Margarita bar. We would love to feed you. Located in the middle of Woodfords Corner, tucked away on the Corner of Deering Ave. and Revere St. Our creative tacos and margaritas use the freshest ingredients and we have something on the menu for everyone. You deserve Tacos.","['Neighborhood gem', 'Vegan-friendly', 'Great for brunch']","Portland, ME",Bird &amp; Co.
6,$30 and under,Bistro,"A neighborhood gastropub featuring 14 local beverages on tap and scratch-kitchen fare.  Menu features shares, entrees and house-made desserts.  Reservations available in our dining room; our bar and high-top area is almost always dedicated to walk-ins.  For reservations for seven or more, email us at littletaphouse@gmail.com.Steps away from popular venues such as the Portland Museum of Art, Cross Insurance Arena, and the State Theater. A welcoming dining experience for locals and visitors-alike! ","['Neighborhood gem', 'Charming', 'Great for happy hour']","Portland, ME",Little Tap House
7,$30 and under,Pub,"Using only the most superior ingredients in their beer and plates, Sea Dog Brewing Company in South Portland serves up innovative pub fare with an original touch. All beer sold at Sea Dog Brewing Company are hand-crafted, as is the American pub cuisine, adding to the restaurant's authenticity. The restaurant offers ample seating for most party sizes, and boasts a private function room available to reserve for group gatherings. Sea Dog Brewing Company offers a selection of pub comfort favorites like Maine lobster bisque with huge chunks of lobster meat, steak tip poutine, and plenty of shareable appetizers. In addition, the menu features other popular dishes like fish and chips and blackened haddock tacos, as well as vegetarian and gluten free options.The friendly staff at Sea Dog Brewing on Western Avenue in South Portland would love to take care of you while you await your flight at PWM, on your lunch break from work, or for weekend brunch with family and friends!","['Lively', 'Good for groups', 'Great for craft beers']","Portland, ME",Sea Dog Brewing Co. - So. Portland
8,$31 to $50,Bistro,"From the owner of David's (Portland, ME), 388 is a comfortable and casual neighborhood nook where diners can enjoy a range of bold flavors. Both restaurants share the signature of Chef/Owner David Turin, and David's 388 is built ""by the Chef, for the Chef.""

Every week, David's 388 thrills the palette with new dishes that have both creative and traditional influences spanning the width of the globe.

The restaurant seats 42 including seating at a Chefâs counter overlooking the kitchen.","['Neighborhood gem', 'Good for special occasions', 'Charming']","Portland, ME",David's 388
9,$31 to $50,Mediterranean,"MK Kitchen is located in the heart of Gorham, Maine.  The menu is created by Chef/Owner Mitchell Kaldrovich, who has years of working in top-notch restaurants and hotels all over the world.  He brings passion, knowledge and experience.  Born in the states, but raised in Argentina, he has a wide blend of flavors and techniques that he has been waiting to showcase at his own place.  He and his wife, Lisa opened MK together in April of 2015.","['Good for special occasions', 'Neighborhood gem', 'Charming']","Portland, ME",MK Kitchen
